colony,origin,trait,mean_diff_RL,n_pairs,t_stat,t_pvalue,wilcox_stat,wilcox_pvalue,t_pvalue_bonf,t_pvalue_holm,t_pvalue_bh,wilcox_pvalue_bonf,wilcox_pvalue_holm,wilcox_pvalue_bh
COY07,Coyhaique,nerv02,-0.018076628012820513,78,-7.037822284120262,7.048417177169543e-10,377.0,6.92988546679548e-09,8.458100612603452e-08,4.370018649845117e-08,1.4335763750175344e-09,8.315862560154576e-07,4.573724408085017e-07,1.5119750109371957e-08
COY08,Coyhaique,nerv02,-0.022113409190000023,100,-10.487214178750143,9.488932994421206e-18,382.0,1.7501311044471137e-13,1.1386719593305447e-15,9.139649673057107e-16,4.5546878373221786e-17,2.1001573253365365e-11,1.8551389707139406e-11,1.3550473293420132e-12
COY09,Coyhaique,nerv02,-0.022036388606060595,99,-9.857049528469135,2.472660160259517e-16,383.0,2.878937905438206e-13,2.9671921923114204e-14,2.299573949041351e-14,1.0597114972540789e-15,3.4547254865258474e-11,2.965306042601352e-11,1.919291936958804e-12
COY10,Coyhaique,nerv02,-0.02086327090625002,96,-8.218974952211882,1.0382906320357147e-12,449.0,6.666714409911932e-12,1.2459487584428576e-10,8.306325056285718e-11,3.038899410836238e-12,8.000057291894319e-10,6.000042968920739e-10,2.580663642546554e-11
COY11,Coyhaique,nerv02,-0.02923995655999998,100,-12.021526415042484,4.614944529473613e-21,263.0,7.498888116022579e-15,5.537933435368336e-19,4.984140091831502e-19,4.259948796437181e-20,8.998665739227095e-13,8.998665739227095e-13,2.399859744422797e-13
COY12,Coyhaique,nerv02,-0.026173345649999975,100,-10.764422596489833,2.3685702555494332e-18,334.0,5.010289107680305e-14,2.84228430665932e-16,2.415941660660422e-16,1.4959391087680633e-17,6.0123469292163655e-12,5.561420909525138e-12,6.012346929216366e-13
RPR01,Ribeirão Preto,nerv02,-0.07836621621621621,74,-21.667213229870974,1.606588205104651e-33,1.0,8.222533567197097e-14,1.9279058461255813e-31,1.8636423179213951e-31,3.8558116922511625e-32,9.867040280636517e-12,8.798110916900894e-12,7.047885914740369e-13
RPR02,Ribeirão Preto,nerv02,-0.01704287857692305,78,-7.257285364727818,2.6979139757591344e-10,382.0,8.035534760879704e-09,3.2374967709109616e-08,1.8345815035162113e-08,6.108484473416908e-10,9.642641713055646e-07,5.223097594571808e-07,1.7219003059027937e-08
RPR03,Ribeirão Preto,nerv02,-0.045594348537499996,80,-14.937754446190226,1.0090982853323332e-24,11.0,1.2114554462509031e-14,1.2109179423987999e-22,1.1301900795722132e-22,1.3454643804431112e-23,1.4537465355010837e-12,1.4052883176510475e-12,2.5157305600513723e-13
RPR04,Ribeirão Preto,nerv02,-0.02745235284810126,79,-12.536913030561243,2.2225084137202102e-20,97.0,4.3218209915557207e-13,2.667010096464252e-18,2.378084002680625e-18,1.9050072117601802e-19,5.186185189866865e-11,4.3650392014712777e-11,2.5930925949334324e-12
