"colony","origin","trait","mean_diff_RL","n_pairs","t_stat","t_pvalue","wilcox_stat","wilcox_pvalue","t_pvalue_bonf","t_pvalue_holm","t_pvalue_bh","wilcox_pvalue_bonf","wilcox_pvalue_holm","wilcox_pvalue_bh"
"RPR11","Ribeirão Preto","nerv02",-0.0341936307375,80,-11.2964516471474,3.63858969737233e-18,41,3.70535076384266e-14,4.36630763684679e-16,3.6022038003986e-16,1.98468528947582e-17,4.44642091661119e-12,4.14999285550378e-12,4.94046768512355e-13
"RPR12","Ribeirão Preto","nerv02",-0.04466667215,60,-12.1850517829699,9.42231925057429e-18,27,6.42833947376168e-11,1.13067831006891e-15,9.13964967305706e-16,4.55468783732226e-17,7.71400736851401e-09,5.27123836848458e-09,1.97795060731129e-10
"COY01","Coyhaique","nerv03",-0.0186433099292929,99,-7.18005948597546,1.36039816360806e-10,754,1.91280539510952e-09,1.63247779632967e-08,9.65882696161722e-09,3.26495559265934e-10,2.29536647413142e-07,1.35809183052776e-07,4.59073294826285e-09
"COY02","Coyhaique","nerv03",-0.023073475877551,98,-7.82834637627739,6.20378644039482e-12,613,2.24330887832286e-10,7.44454372847378e-10,4.71487769470006e-10,1.65434305077195e-11,2.69197065398744e-08,1.74978092509183e-08,6.26039686973822e-10
"COY03","Coyhaique","nerv03",-0.00830863943434343,99,-2.93721997247566,0.00412796855503974,1610,0.00387681082653839,0.495356226604769,0.132094993761272,0.00556580029892998,0.465217299184607,0.124057946449229,0.00522716066499558
"COY04","Coyhaique","nerv03",-0.0204411441410256,78,-6.18970875685142,2.7149948368458e-08,489,2.7709261542193e-07,3.25799380421496e-06,1.52039710863365e-06,5.0122981603307e-08,3.32511138506316e-05,1.55171864636281e-05,5.11555597702025e-07
"COY05","Coyhaique","nerv03",-0.0175726033195876,97,-6.91546726938474,5.16936344797815e-10,807,1.64578180975913e-08,6.20323613757378e-08,3.25669897222623e-08,1.06952347199548e-09,1.97493817171096e-06,1.00392690395307e-06,3.29156361951827e-08
"COY06","Coyhaique","nerv03",0.00624119570312499,64,1.98211595824923,0.0518323041994898,1302,0.0445019837420388,1,0.881149171391327,0.0598065048455652,1,0.890039674840776,0.0528736440499471
"COY07","Coyhaique","nerv03",-0.0159905331153846,78,-4.42071814636262,3.1829673844257e-05,724,4.8178086338844e-05,0.00381956086131084,0.00159148369221285,5.37966318494484e-05,0.00578137036066128,0.00245708240328105,8.2591005152304e-05
"COY08","Coyhaique","nerv03",-0.00462420829999999,100,-1.58453239557629,0.116261916795633,2062,0.149939688941442,1,1,0.125688558697982,1,1,0.159227988256398
"COY09","Coyhaique","nerv03",-0.0187674505959596,99,-7.72960592800835,9.53219989293739e-12,671,5.11829721495519e-10,1.14386398715249e-09,7.05382792077367e-10,2.43375316415423e-11,6.14195665794622e-08,3.88990588336594e-08,1.36487925732138e-09
"COY10","Coyhaique","nerv03",-0.001081603125,96,-0.355220409935634,0.723211926708326,2219,0.691741575180943,1,1,0.729289337857136,1,1,0.691741575180943
"COY11","Coyhaique","nerv03",-0.00763971433,100,-2.83068764254422,0.00562566684131221,1813,0.014430357670336,0.675080020957465,0.168770005239366,0.00741846176876335,1,0.389619657099073,0.0184217331961737
"COY12","Coyhaique","nerv03",-0.00540992556000001,100,-1.5904361070086,0.114924933443256,1973,0.0800527089453679,1,1,0.12537265466537,1,1,0.0889474543837421
"RPR01","Ribeirão Preto","nerv03",-0.0850816216216216,74,-21.1065642557098,8.39748575948258e-33,0,7.89272546444834e-14,1.00769829113791e-30,9.65710862340497e-31,1.67949715189652e-31,9.47127055733801e-12,8.60218444299109e-12,7.04788591474044e-13
"RPR02","Ribeirão Preto","nerv03",-0.0328250041025641,78,-10.4171965068154,2.3277648857162e-16,160,6.26726547378833e-12,2.79331786285943e-14,2.18809899257322e-14,1.03456217142942e-15,7.520718568546e-10,5.70321158114738e-10,2.50690618951533e-11
"RPR03","Ribeirão Preto","nerv03",-0.0547406929625,80,-17.255244202946,1.59921522826251e-28,12,1.2578652800257e-14,1.91905827391502e-26,1.82310536021926e-26,2.74151181987859e-27,1.50943833603084e-12,1.44654507202955e-12,2.5157305600514e-13
"RPR04","Ribeirão Preto","nerv03",-0.0294742744683544,79,-10.1376398714109,6.86591271961397e-16,159,3.86362021026921e-12,8.23909526353677e-14,6.24798057484871e-14,2.74636508784559e-15,4.63634425232306e-10,3.55453059344768e-10,1.59873939735278e-11
"RPR05","Ribeirão Preto","nerv03",-0.0250060230125,80,-8.37614432228364,1.60958282403183e-12,299,2.3966560082754e-10,1.93149938883819e-10,1.27157043098514e-10,4.59880806866236e-12,2.87598720993048e-08,1.84542512637206e-08,6.53633456802383e-10
"RPR06","Ribeirão Preto","nerv03",-0.027938293575,80,-10.2113652754166,4.30742660290823e-16,142,1.37531985000114e-12,5.16891192348988e-14,3.96283247467557e-14,1.78238342189306e-15,1.65038382000137e-10,1.30655385750108e-10,6.34763007692833e-12
"RPR07","Ribeirão Preto","nerv03",-0.0263509251875,80,-7.24802247214494,2.49812419467861e-10,393,4.03758310161098e-09,2.99774903361433e-08,1.72370569432824e-08,5.76490198771986e-10,4.84509972193318e-07,2.74555650909547e-07,9.14169758855317e-09
"RPR08","Ribeirão Preto","nerv03",-0.0931802215125,80,-30.4146878831378,2.26970442450951e-45,0,7.99953248140933e-15,2.72364530941141e-43,2.67825122092122e-43,9.07881769803804e-44,9.5994389776912e-13,9.5194436528771e-13,2.3998597444228e-13
"RPR09","Ribeirão Preto","nerv03",-0.0230971933375,80,-7.56562177264801,6.08626613740793e-11,382,2.93120298133048e-09,7.30351936488951e-09,4.38211161893371e-09,1.4905141560999e-10,3.51744357759658e-07,2.02253005711803e-07,6.76431457230112e-09
"RPR10","Ribeirão Preto","nerv03",-0.0340011951012658,79,-11.4670900848073,2.08187375373378e-18,103,5.36342922117382e-13,2.49824850448054e-16,2.1443299663458e-16,1.38791583582252e-17,6.43611506540858e-11,5.30979492896208e-11,2.92550684791299e-12
"RPR11","Ribeirão Preto","nerv03",-0.0334862969625,80,-12.2688762218863,5.54693160393787e-20,101,3.26085010316829e-13,6.65631792472544e-18,5.82427818413476e-18,4.1601987029534e-19,3.91302012380195e-11,3.32606710523165e-11,2.05948427568523e-12
"RPR12","Ribeirão Preto","nerv03",-0.0521622455,60,-15.1864639180665,4.7658745829501e-22,4,2.04547883477884e-11,5.71904949954012e-20,5.24246204124511e-20,5.19913590867283e-21,2.45457460173461e-09,1.73865700956201e-09,6.81826278259613e-11
"COY01","Coyhaique","nerv04",-0.0134734089292929,99,-6.54429439029608,2.74545114459804e-09,887,3.01032722629043e-08,3.29454137351765e-07,1.61981617531284e-07,5.31377640889943e-09,3.61239267154851e-06,1.77609306351135e-06,5.82643979282018e-08
"COY02","Coyhaique","nerv04",-0.00638711452040815,98,-2.6496949226068,0.0094075004687156,1685,0.0188798581427781,1,0.263410013124037,0.0121387102822137,1,0.490876311712231,0.0238482418645618
"COY03","Coyhaique","nerv04",0.00370446097979798,99,1.6616260189489,0.0997836011614276,2843,0.139495698513149,1,1,0.109853505865792,1,1,0.149459676978374
"COY04","Coyhaique","nerv04",-0.0058753186923077,78,-2.61070135226949,0.0108554050070096,1073,0.0200179455829458,1,0.29309593518926,0.0137349388993031,1,0.490876311712231,0.0247644687624072
"COY05","Coyhaique","nerv04",-0.00676641170103092,97,-3.11935369142295,0.00239325055628287,1550,0.00295730514484219,0.287190066753944,0.0813705189136176,0.00330103525004534,0.354876617381062,0.103505680069477,0.00412647229512863
"COY06","Coyhaique","nerv04",0.010022830328125,64,4.39631688283316,4.31680888983821e-05,1589,7.06270566650414e-05,0.00518017066780585,0.00211523635602072,7.19468148306368e-05,0.00847524679980497,0.00339009871992199,0.000116099271230205
"COY07","Coyhaique","nerv04",-0.00782811078205128,78,-3.67725668825856,0.000434356870052443,852,0.000610834057703259,0.0521228244062931,0.018677345412255,0.00066824133854222,0.0733000869243911,0.0268766985389434,0.000951949180836248
"COY08","Coyhaique","nerv04",0.0091286926,100,5.00856199343956,2.39497567715321e-06,3826.5,2.41249777140469e-06,0.000287397081258385,0.000129328686566273,4.28950867549829e-06,0.000289499732568563,0.000130274879655853,4.32089153087408e-06
"COY09","Coyhaique","nerv04",-0.00402299433333334,99,-1.7161621513917,0.0892919364266985,1695,0.00968675115382915,1,1,0.0992132626963316,1,0.290602534614875,0.0127737377852692
"COY10","Coyhaique","nerv04",0.0133002328854167,96,5.89230119156547,5.76522865166488e-08,3733,2.8594983053742e-07,6.91827438199786e-06,3.17087575841569e-06,1.0482233912118e-07,3.43139796644904e-05,1.57272406795581e-05,5.19908782795309e-07
"COY11","Coyhaique","nerv04",0.00681015662,100,3.51533827968682,0.000664156192951058,3433,0.0018067933089117,0.0796987431541269,0.0265662477180423,0.000983935100668234,0.216815197069404,0.0686581457386446,0.00261223128999282
"COY12","Coyhaique","nerv04",0.01372572336,100,6.9941019471971,3.18398407184128e-10,4144,1.14426101946216e-09,3.82078088620954e-08,2.10142948741525e-08,6.94687433856279e-10,1.37311322335459e-07,8.35310544207376e-08,2.8606525486554e-09
"RPR01","Ribeirão Preto","nerv04",-0.0707983783783784,74,-26.8729580018945,1.36111590155896e-39,0,7.89191233301935e-14,1.63333908187075e-37,1.59250560482398e-37,4.08334770467687e-38,9.47029479962322e-12,8.60218444299109e-12,7.04788591474044e-13
"RPR02","Ribeirão Preto","nerv04",-0.0214553255641026,78,-9.3462435103507,2.58429917696992e-14,180,1.25422947501621e-11,3.1011590123639e-12,2.22249729219413e-12,8.86045432103972e-14,1.50507537001945e-09,1.0911796432641e-09,4.42669226476309e-11
"RPR03","Ribeirão Preto","nerv04",-0.0436829953375,80,-16.6457284005417,1.49566716968621e-27,25,2.04637799725235e-14,1.79480060362346e-25,1.69010390174542e-25,2.24350075452932e-26,2.45565359670282e-12,2.31240713689516e-12,3.06956699587853e-13
"RPR04","Ribeirão Preto","nerv04",-0.0227125572658228,79,-10.7872475910884,3.96224692331144e-17,73,1.80672977245603e-13,4.75469630797373e-15,3.76413457714587e-15,1.82872934922066e-16,2.16807572694724e-11,1.89706626107883e-11,1.35504732934202e-12
"RPR05","Ribeirão Preto","nerv04",-0.0173896395375,80,-8.17176057820346,4.03297244750074e-12,337,7.68802901351477e-10,4.83956693700089e-10,3.10538878457557e-10,1.09990157659111e-11,9.22563481621773e-08,5.76602176013608e-08,2.00557278613429e-09
"RPR06","Ribeirão Preto","nerv04",-0.0232090320875,80,-10.0045282664652,1.08106575041619e-15,132,9.71557184060069e-13,1.29727890049943e-13,9.72959175374575e-14,4.10663376309816e-15,1.16586862087208e-10,9.52126040378868e-11,4.90754380480732e-12
